Item No.,Item Description,Ref Standard,Pack,In Stock,InTransit Qty,Special  Price euro/1000,ETA Date
064224065BS-03,ISO 10642 M24x65 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,25,1050,0,466.20,
064220140DS-01,ISO 10642 M20x140 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,10,1450,0,791.94,
064208025DS-01,ISO 10642 M8x25 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,200,23772,0,22.38,
064208060DS-01,ISO 10642 M8x60 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,30800,0,54.41,
064206010BS-03,ISO 10642 M6x10 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,500,1500,0,9.11,
064212016BS-01,ISO 10642 M12x16 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,2000,0,37.62,
064224100DS-01,ISO 10642 M24x100 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,10,2245,0,745.88,
064224200DS-01,ISO 10642 M24x200 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,5,1605,0,1645.31,
064224080DS-01,ISO 10642 M24x80 COUNTERSUNK SCREW 010.9 ZNW F/T,ISO 10642,25,1600,0,590.12,
064205045BS-01,ISO 10642 M5x45 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,200,5200,0,14.94,
064206035BS-01,ISO 10642 M6x35 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,200,147200,0,15.20,
064208020DS-01,ISO 10642 M8x20 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,200,55000,0,18.87,
064206085BS-03,ISO 10642 M6x85 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,11900,0,38.77,
064206085DS-03,ISO 10642 M6x85 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,6400,0,39.82,
064216035DS-01,ISO 10642 M16x35 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,50,6650,0,128.12,
