Article code,Item Full Name,Item Full Name English,Standard Name,Standard Code,Standard Group,Item article,Metric thread M,Thread pitch,Length,Coating,Material,Option,Packaging,King Name,King Size,King Code
265135,Шплінт 2х16 Cu DIN94 (100 шт),DIN 94 copper 2 x 16 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,16,,Cu,,100,,,
265134,Шплінт 2х20 Cu DIN94 (100 шт),DIN 94 copper 2 x 20 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,20,,Cu,,100,,,
265136,Шплінт 2х25 Cu DIN94 (100 шт),DIN 94 copper 2 x 25 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,25,,Cu,,100,,,
265137,Шплінт 2х40 Cu DIN94 (100 шт),DIN 94 copper 2 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,40,,Cu,,100,,,
265138,"Шплінт 3,2х20 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 20 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,20,,Cu,,100,,,
265139,"Шплінт 3,2х25 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 25 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,25,,Cu,,100,,,
265140,"Шплінт 3,2х32 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 32 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,32,,Cu,,100,,,
265141,"Шплінт 3,2х36 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 36 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,36,,Cu,,100,,,
265142,"Шплінт 3,2х40 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 40 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,40,,Cu,,100,,,
265143,"Шплінт 3,2х50 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 50 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,50,,Cu,,100,,,
265144,Шплінт 4х25 Cu DIN94 (100 шт),DIN 94 copper 4 x 25 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,25,,Cu,,100,,,
265145,Шплінт 4х32 Cu DIN94 (100 шт),DIN 94 copper 4 x 32 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,32,,Cu,,100,,,
265146,Шплінт 4х36 Cu DIN94 (100 шт),DIN 94 copper 4 x 36 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,36,,Cu,,100,,,
265147,Шплінт 4х40 Cu DIN94 (100 шт),DIN 94 copper 4 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,40,,Cu,,100,,,
265148,Шплінт 4х50 Cu DIN94 (100 шт),DIN 94 copper 4 x 50 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,50,,Cu,,100,,,
265149,Шплінт 4х63 Cu DIN94 (100 шт),DIN 94 copper 4 x 63 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,63,,Cu,,100,,,
265150,Шплінт 5х32 Cu DIN94 (100 шт),DIN 94 copper 5 x 32 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,32,,Cu,,100,,,
265151,Шплінт 5х36 Cu DIN94 (100 шт),DIN 94 copper 5 x 36 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,36,,Cu,,100,,,
265152,Шплінт 5х40 Cu DIN94 (100 шт),DIN 94 copper 5 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,40,,Cu,,100,,,
265153,Шплінт 5х50 Cu DIN94 (100 шт),DIN 94 copper 5 x 50 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,50,,Cu,,100,,,
265154,Шплінт 5х63 Cu DIN94 (100 шт),DIN 94 copper 5 x 63 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,63,,Cu,,100,,,
265155,Шплінт 5х71 Cu DIN94 (100 шт),DIN 94 copper 5 x 71 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,71,,Cu,,100,,,
265156,Шплінт 5х80 Cu DIN94 (100 шт),DIN 94 copper 5 x 80 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,80,,Cu,,100,,,
265157,"Шплінт 6,3х50 Cu DIN94 (100 шт)","DIN 94 copper 6,3 x 50 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,50,,Cu,,100,,,
265158,"Шплінт 6,3х63 Cu DIN94 (50 шт)","DIN 94 copper 6,3 x 63 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,63,,Cu,,50,,,
265159,"Шплінт 6,3х80 Cu DIN94 (50 шт)","DIN 94 copper 6,3 x 80 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,80,,Cu,,50,,,
265098,"Шплінт 1,6х10 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 10 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,10,,латунь,,200,,,
265099,"Шплінт 1,6х12 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 12 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,12,,латунь,,200,,,
265100,"Шплінт 1,6х16 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 16 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,16,,латунь,,200,,,
265101,"Шплінт 1,6х20 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 20 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,20,,латунь,,200,,,
265102,"Шплінт 1,6х25 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 25 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,25,,латунь,,200,,,
265103,Шплінт 2х10 латунь DIN94 (100 шт),DIN 94 brass 2 x 10 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,10,,латунь,,100,,,
265104,Шплінт 2х12 латунь DIN94 (100 шт),DIN 94 brass 2 x 12 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,12,,латунь,,100,,,
265105,Шплінт 2х16 латунь DIN94 (100 шт),DIN 94 brass 2 x 16 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,16,,латунь,,100,,,
265106,Шплінт 2х20 латунь DIN94 (100 шт),DIN 94 brass 2 x 20 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,20,,латунь,,100,,,
265107,Шплінт 2х25 латунь DIN94 (100 шт),DIN 94 brass 2 x 25 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,25,,латунь,,100,,,
265108,Шплінт 2х32 латунь DIN94 (100 шт),DIN 94 brass 2 x 32 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,32,,латунь,,100,,,
265109,Шплінт 2х40 латунь DIN94 (100 шт),DIN 94 brass 2 x 40 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,40,,латунь,,100,,,
265110,Шплінт 2х50 латунь DIN94 (100 шт),DIN 94 brass 2 x 50 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,50,,латунь,,100,,,
265111,"Шплінт 3,2х16 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 16 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,16,,латунь,,100,,,
265112,"Шплінт 3,2х20 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 20 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,20,,латунь,,100,,,
265113,"Шплінт 3,2х25 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 25 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,25,,латунь,,100,,,
265114,"Шплінт 3,2х32 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 32 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,32,,латунь,,100,,,
265115,"Шплінт 3,2х36 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 36 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,36,,латунь,,100,,,
265116,"Шплінт 3,2х40 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 40 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,40,,латунь,,100,,,
265117,"Шплінт 3,2х50 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 50 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,50,,латунь,,100,,,
265118,"Шплінт 3,2х63 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 63 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,63,,латунь,,100,,,
265119,Шплінт 4х20 латунь DIN94 (100 шт),DIN 94 brass 4 x 20 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,20,,латунь,,100,,,
265120,Шплінт 4х25 латунь DIN94 (100 шт),DIN 94 brass 4 x 25 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,25,,латунь,,100,,,
265121,Шплінт 4х32 латунь DIN94 (100 шт),DIN 94 brass 4 x 32 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,32,,латунь,,100,,,
265122,Шплінт 4х36 латунь DIN94 (100 шт),DIN 94 brass 4 x 36 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,36,,латунь,,100,,,
265123,Шплінт 4х40 латунь DIN94 (100 шт),DIN 94 brass 4 x 40 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,40,,латунь,,100,,,
265124,Шплінт 4х50 латунь DIN94 (100 шт),DIN 94 brass 4 x 50 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,50,,латунь,,100,,,
265125,Шплінт 4х63 латунь DIN94 (100 шт),DIN 94 brass 4 x 63 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,4,,63,,латунь,,100,,,
265126,Шплінт 5х32 латунь DIN94 (100 шт),DIN 94 brass 5 x 32 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,5,,32,,латунь,,100,,,
265127,Шплінт 5х36 латунь DIN94 (100 шт),DIN 94 brass 5 x 36 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,5,,36,,латунь,,100,,,
265128,Шплінт 5х40 латунь DIN94 (100 шт),DIN 94 brass 5 x 40 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,5,,40,,латунь,,100,,,
265129,Шплінт 5х50 латунь DIN94 (100 шт),DIN 94 brass 5 x 50 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,5,,50,,латунь,,100,,,
265130,Шплінт 5х63 латунь DIN94 (100 шт),DIN 94 brass 5 x 63 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,5,,63,,латунь,,100,,,
265131,"Шплінт 6,3х50 латунь DIN94 (100 шт)","DIN 94 brass 6,3 x 50 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,6.3,,50,,латунь,,100,,,
265132,"Шплінт 6,3х63 латунь DIN94 (50 шт)","DIN 94 brass 6,3 x 63 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,6.3,,63,,латунь,,50,,,
265133,"Шплінт 6,3х100 латунь DIN94 (50 шт)","DIN 94 brass 6,3 x 100 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,6.3,,100,,латунь,,50,,,
122191,Анкер М6 /8х40  YZn однороз. з гайкою TN2010 (100 шт),,TN,2010,TN 2010 YZn,Анкер,6,,40,YZn,,,100,,,
238638,Анкер М6 /8х65  YZn однороз. з гайкою TN2010 (100 шт),,TN,2010,TN 2010 YZn,Анкер,6,,65,YZn,,,100,,,
122192,Анкер М6 /8х70  YZn однороз. з гайкою TN2010 (100 шт),,TN,2010,TN 2010 YZn,Анкер,6,,70,YZn,,,100,,,
122193,Анкер М6 /8х80  YZn однороз. з гайкою TN2010 (100 шт),,TN,2010,TN 2010 YZn,Анкер,6,,80,YZn,,,100,,,
238639,Анкер М6 /8х85  YZn однороз. з гайкою TN2010 (100 шт),,TN,2010,TN 2010 YZn,Анкер,6,,85,YZn,,,100,,,
164486,Анкер М6 /8х100  YZn однороз. з гайкою TN2010 (50 шт),,TN,2010,TN 2010 YZn,Анкер,6,,100,YZn,,,50,,,
122194,Анкер М8 /10х40  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,40,YZn,,,25,,,
122195,Анкер М8 /10х50  YZn однороз. з гайкою TN2010 (50 шт),,TN,2010,TN 2010 YZn,Анкер,8,,50,YZn,,,50,,,
238637,Анкер М8 /10х60  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,60,YZn,,,25,,,
238649,Анкер М8 /10х75  YZn однороз. з гайкою TN2010 (20 шт),,TN,2010,TN 2010 YZn,Анкер,8,,75,YZn,,,20,,,
122196,Анкер М8 /10х80  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,8,,80,YZn,,,10,,,
242296,Анкер М8 /10х95  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,95,YZn,,,25,,,
122197,Анкер М8 /10х100  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,100,YZn,,,25,,,
122198,Анкер М8 /10х125  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,8,,125,YZn,,,10,,,
238626,Анкер М8 /10х150  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,8,,150,YZn,,,10,,,
238650,Анкер М8 /10х160  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,160,YZn,,,25,,,
238627,Анкер М8 /10х180  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,180,YZn,,,25,,,
238628,Анкер М8 /10х200  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,200,YZn,,,25,,,
238629,Анкер М8 /10х220  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,220,YZn,,,25,,,
242297,Анкер М8 /10х250  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,8,,250,YZn,,,10,,,
239461,Анкер М8 /10х300  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,8,,300,YZn,,,25,,,
122199,Анкер М10 /12х60  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,60,YZn,,,10,,,
122200,Анкер М10 /12х75  YZn однороз. з гайкою TN2010 (25 шт),,TN,2010,TN 2010 YZn,Анкер,10,,75,YZn,,,25,,,
122201,Анкер М10 /12х100  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,100,YZn,,,10,,,
238906,Анкер М10 /12х120  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,120,YZn,,,10,,,
122202,Анкер М10 /12х130  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,130,YZn,,,10,,,
122203,Анкер М10 /12х150  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,150,YZn,,,10,,,
235932,Анкер М10 /12х180  YZn однороз. з гайкою TN2010 (20 шт),,TN,2010,TN 2010 YZn,Анкер,10,,180,YZn,,,20,,,
225156,Анкер М10 /12х200  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,10,,200,YZn,,,10,,,
242298,Анкер М10 /12х250  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,250,YZn,,,5,,,
217002,Анкер М10 /12х300  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,300,YZn,,,5,,,
242299,Анкер М10 /12х400  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,400,YZn,,,5,,,
242300,Анкер М10 /14х150  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,150,YZn,,,5,,,
215771,Анкер М10 /14х160  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,160,YZn,,,5,,,
242301,Анкер М10 /14х200  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,10,,200,YZn,,,5,,,
122204,Анкер М12 /16х110  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,12,,110,YZn,,,10,,,
249982,Анкер М12 /16х120  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,12,,120,YZn,,,10,,,
242302,Анкер М12 /16х145  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,145,YZn,,,5,,,
122205,Анкер М12 /16х150  YZn однороз. з гайкою TN2010 (10 шт),,TN,2010,TN 2010 YZn,Анкер,12,,150,YZn,,,10,,,
212264,Анкер М12 /16х180  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,180,YZn,,,5,,,
216988,Анкер М12 /16х200  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,200,YZn,,,5,,,
242303,Анкер М12 /16х210  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,210,YZn,,,5,,,
242304,Анкер М12 /16х220  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,220,YZn,,,5,,,
242305,Анкер М12 /16х250  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,12,,250,YZn,,,5,,,
242306,Анкер М12 /16х300  YZn однороз. з гайкою TN2010 (2 шт),,TN,2010,TN 2010 YZn,Анкер,12,,300,YZn,,,2,,,
242307,Анкер М12 /16х400  YZn однороз. з гайкою TN2010 (2 шт),,TN,2010,TN 2010 YZn,Анкер,12,,400,YZn,,,2,,,
122206,Анкер М16 /20х110  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,16,,110,YZn,,,5,,,
122207,Анкер М16 /20х150  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,16,,150,YZn,,,5,,,
250748,Анкер М16 /20х160  YZn однороз. з гайкою TN2010 (15 шт),,TN,2010,TN 2010 YZn,Анкер,16,,160,YZn,,,15,,,
217250,Анкер М16 /20х200  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,16,,200,YZn,,,5,,,
242308,Анкер М16 /20х250  YZn однороз. з гайкою TN2010 (2 шт),,TN,2010,TN 2010 YZn,Анкер,16,,250,YZn,,,2,,,
242309,Анкер М16 /20х300  YZn однороз. з гайкою TN2010 (2 шт),,TN,2010,TN 2010 YZn,Анкер,16,,300,YZn,,,2,,,
242310,Анкер М16 /20х400  YZn однороз. з гайкою TN2010 (2 шт),,TN,2010,TN 2010 YZn,Анкер,16,,400,YZn,,,2,,,
265282,Анкер М16 /20х145  YZn однороз. з гайкою TN2010 (5 шт),,TN,2010,TN 2010 YZn,Анкер,16,,145,YZn,,,5,,,
164487,Анкер М6 /10х100  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,6,,100,YZn,,,10,,,
207508,Анкер М6 /10х120  YZn двохроз. з гайкою TN2011 (50 шт),,TN,2011,TN 2011 YZn,Анкер,6,,120,YZn,,,50,,,
242311,Анкер М6 /10х140  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,6,,140,YZn,,,25,,,
164488,Анкер М6 /10х150  YZn двохроз. з гайкою TN2011 (20 шт),,TN,2011,TN 2011 YZn,Анкер,6,,150,YZn,,,20,,,
233802,Анкер М6 /10х160  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,6,,160,YZn,,,25,,,
242351,Анкер М6 /10х180  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,6,,180,YZn,,,25,,,
242352,Анкер М6 /10х200  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,6,,200,YZn,,,25,,,
164489,Анкер М8 /12х100  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,8,,100,YZn,,,10,,,
164490,Анкер М8 /12х120  YZn двохроз. з гайкою TN2011 (30 шт),,TN,2011,TN 2011 YZn,Анкер,8,,120,YZn,,,30,,,
242312,Анкер М8 /12х140  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,8,,140,YZn,,,25,,,
164491,Анкер М8 /12х150  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,8,,150,YZn,,,10,,,
242313,Анкер М8 /12х160  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,8,,160,YZn,,,25,,,
164492,Анкер М8 /12х180  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,8,,180,YZn,,,10,,,
164493,Анкер М8 /12х200  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,8,,200,YZn,,,10,,,
242314,Анкер М8 /12х240  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,240,YZn,,,5,,,
164494,Анкер М8 /12х250  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,250,YZn,,,5,,,
242315,Анкер М8 /12х260  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,260,YZn,,,5,,,
242316,Анкер М8 /12х280  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,280,YZn,,,5,,,
242317,Анкер М8 /12х300  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,300,YZn,,,5,,,
242318,Анкер М8 /12х330  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,330,YZn,,,5,,,
242319,Анкер М8 /12х340  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,340,YZn,,,5,,,
242320,Анкер М8 /12х400  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,8,,400,YZn,,,5,,,
164496,Анкер М10 /14х100  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,10,,100,YZn,,,10,,,
238631,Анкер М10 /14х120  YZn двохроз. з гайкою TN2011 (25 шт),,TN,2011,TN 2011 YZn,Анкер,10,,120,YZn,,,25,,,
238632,Анкер М10 /14х140  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,10,,140,YZn,,,10,,,
238633,Анкер М10 /14х150  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,10,,150,YZn,,,10,,,
242321,Анкер М10 /14х160  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,10,,160,YZn,,,5,,,
164497,Анкер М10 /14х180  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,10,,180,YZn,,,10,,,
164498,Анкер М10 /14х200  YZn двохроз. з гайкою TN2011 (20 шт),,TN,2011,TN 2011 YZn,Анкер,10,,200,YZn,,,20,,,
164499,Анкер М10 /14х250  YZn двохроз. з гайкою TN2011 (20 шт),,TN,2011,TN 2011 YZn,Анкер,10,,250,YZn,,,20,,,
164500,Анкер М10 /14х330  YZn двохроз. з гайкою TN2011 (20 шт),,TN,2011,TN 2011 YZn,Анкер,10,,330,YZn,,,20,,,
242322,Анкер М12 /16х100  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,12,,100,YZn,,,10,,,
164501,Анкер М12 /16х120  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,12,,120,YZn,,,10,,,
242323,Анкер М12 /16х140  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,12,,140,YZn,,,5,,,
238634,Анкер М12 /16х160  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,12,,160,YZn,,,5,,,
242324,Анкер М12 /16х180  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,12,,180,YZn,,,5,,,
164502,Анкер М12 /16х200  YZn двохроз. з гайкою TN2011 (5 шт),,TN,2011,TN 2011 YZn,Анкер,12,,200,YZn,,,5,,,
242325,Анкер М12 /16х240  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,240,YZn,,,2,,,
164503,Анкер М12 /16х250  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,250,YZn,,,2,,,
242326,Анкер М12 /16х260  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,260,YZn,,,2,,,
242327,Анкер М12 /16х280  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,280,YZn,,,2,,,
242328,Анкер М12 /16х300  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,300,YZn,,,2,,,
164504,Анкер М12 /16х330  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,330,YZn,,,2,,,
242329,Анкер М12 /16х340  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,340,YZn,,,2,,,
242330,Анкер М12 /16х360  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,360,YZn,,,2,,,
242331,Анкер М12 /16х380  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,380,YZn,,,2,,,
242332,Анкер М12 /16х400  YZn двохроз. з гайкою TN2011 (2 шт),,TN,2011,TN 2011 YZn,Анкер,12,,400,YZn,,,2,,,
242333,Анкер М16 /20х120  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,16,,120,YZn,,,10,,,
242334,Анкер М16 /20х140  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,16,,140,YZn,,,10,,,
164505,Анкер М16 /20х160  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,16,,160,YZn,,,10,,,
164506,Анкер М16 /20х180  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,16,,180,YZn,,,10,,,
164507,Анкер М16 /20х200  YZn двохроз. з гайкою TN2011 (10 шт),,TN,2011,TN 2011 YZn,Анкер,16,,200,YZn,,,10,,,
238635,Анкер М16 /20х210  YZn двохроз. з гайкою TN2011 (20 шт),,TN,2011,TN 2011 YZn,Анкер,16,,210,YZn,,,20,,,
